station,valid,lon,lat,elevation,tmpf,relh,feel,drct,sped,p01m,p01i,gust_mph,skyc1,skyc2,skyc3,skyl1,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,snowdepth
NYC,2024-01-14 00:51,-73.9693,40.7790,27.00,40.00,42.45,35.17,null,6.90,0.00,0.00,25.30,SCT,null,null,6000.00,null,null,null,null
NYC,2024-01-14 01:51,-73.9693,40.7790,27.00,39.00,40.50,null,null,null,0.00,0.00,null,OVC,null,null,5000.00,null,null,null,null
NYC,2024-01-14 02:51,-73.9693,40.7790,27.00,37.00,45.73,30.27,240.00,9.20,0.00,0.00,25.30,BKN,null,null,5000.00,null,null,null,null
NYC,2024-01-14 03:51,-73.9693,40.7790,27.00,37.00,43.80,30.27,250.00,9.20,0.00,0.00,null,OVC,null,null,5000.00,null,null,null,null
NYC,2024-01-14 04:51,-73.9693,40.7790,27.00,36.00,43.64,27.52,280.00,12.65,0.00,0.00,23.00,SCT,null,null,5000.00,null,null,null,null
NYC,2024-01-14 05:51,-73.9693,40.7790,27.00,35.00,45.40,28.44,260.00,8.05,0.00,0.00,19.55,FEW,null,null,5000.00,null,null,null,null
NYC,2024-01-14 06:51,-73.9693,40.7790,27.00,35.00,45.40,28.44,260.00,8.05,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 07:51,-73.9693,40.7790,27.00,34.00,47.25,29.76,null,4.60,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 08:51,-73.9693,40.7790,27.00,34.00,47.25,28.77,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 09:51,-73.9693,40.7790,27.00,33.00,51.36,29.83,null,3.45,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 10:51,-73.9693,40.7790,27.00,33.00,53.62,26.73,null,6.90,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 11:51,-73.9693,40.7790,27.00,33.00,55.97,33.00,0.00,0.00,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 12:51,-73.9693,40.7790,27.00,33.00,55.97,27.58,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 13:51,-73.9693,40.7790,27.00,35.00,53.93,30.92,null,4.60,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 14:51,-73.9693,40.7790,27.00,37.00,47.74,32.33,null,5.75,0.00,0.00,19.55,BKN,null,null,6000.00,null,null,null,null
NYC,2024-01-14 15:51,-73.9693,40.7790,27.00,41.00,39.12,37.08,null,5.75,0.00,0.00,19.55,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 16:51,-73.9693,40.7790,27.00,43.00,37.81,36.37,230.00,12.65,0.00,0.00,20.70,OVC,null,null,7000.00,null,null,null,null
NYC,2024-01-14 17:51,-73.9693,40.7790,27.00,42.00,44.63,35.10,280.00,12.65,0.00,0.00,32.20,BKN,OVC,null,5000.00,null,null,null,null
NYC,2024-01-14 18:51,-73.9693,40.7790,27.00,38.00,52.14,32.09,300.00,8.05,T,T,26.45,FEW,BKN,OVC,2800.00,null,null,null,null
NYC,2024-01-14 19:51,-73.9693,40.7790,27.00,38.00,45.90,29.26,250.00,14.95,0.00,0.00,29.90,BKN,BKN,null,8500.00,null,null,null,null
NYC,2024-01-14 20:51,-73.9693,40.7790,27.00,38.00,20.53,28.24,270.00,18.40,0.00,0.00,36.80,SCT,null,null,7000.00,null,null,null,null
NYC,2024-01-14 21:51,-73.9693,40.7790,27.00,36.00,24.37,28.49,280.00,10.35,0.00,0.00,31.05,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 22:51,-73.9693,40.7790,27.00,33.00,26.22,22.08,280.00,17.25,0.00,0.00,27.60,CLR,null,null,null,null,null,null,null
NYC,2024-01-14 23:51,-73.9693,40.7790,27.00,31.00,28.42,22.27,290.00,10.35,0.00,0.00,20.70,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 00:51,-73.9693,40.7790,27.00,30.00,31.01,21.65,270.00,9.20,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 01:51,-73.9693,40.7790,27.00,30.00,31.01,23.12,null,6.90,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 02:51,-73.9693,40.7790,27.00,29.00,32.30,22.83,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 03:51,-73.9693,40.7790,27.00,28.00,33.65,19.19,280.00,9.20,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 04:51,-73.9693,40.7790,27.00,27.00,35.06,21.58,null,4.60,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 05:51,-73.9693,40.7790,27.00,26.00,38.27,18.30,null,6.90,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 06:51,-73.9693,40.7790,27.00,25.00,39.89,18.08,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 07:51,-73.9693,40.7790,27.00,25.00,38.09,18.08,null,5.75,0.00,0.00,null,SCT,null,null,12000.00,null,null,null,null
NYC,2024-01-15 08:51,-73.9693,40.7790,27.00,24.00,39.71,16.89,280.00,5.75,0.00,0.00,null,OVC,null,null,11000.00,null,null,null,null
NYC,2024-01-15 09:51,-73.9693,40.7790,27.00,24.00,39.71,15.03,280.00,8.05,0.00,0.00,null,BKN,null,null,9500.00,null,null,null,null
NYC,2024-01-15 10:51,-73.9693,40.7790,27.00,24.00,41.59,16.89,250.00,5.75,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 11:51,-73.9693,40.7790,27.00,24.00,43.54,16.89,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-15 12:51,-73.9693,40.7790,27.00,24.00,43.54,15.90,300.00,6.90,0.00,0.00,null,BKN,null,null,10000.00,null,null,null,null
NYC,2024-01-15 13:51,-73.9693,40.7790,27.00,24.00,43.54,15.90,null,6.90,0.00,0.00,null,SCT,null,null,8000.00,null,null,null,null
NYC,2024-01-15 14:51,-73.9693,40.7790,27.00,25.00,41.76,15.49,300.00,9.20,0.00,0.00,null,BKN,null,null,8000.00,null,null,null,null
NYC,2024-01-15 15:51,-73.9693,40.7790,27.00,27.00,36.72,null,null,null,0.00,0.00,null,OVC,null,null,9500.00,null,null,null,null
NYC,2024-01-15 16:51,-73.9693,40.7790,27.00,28.00,35.24,22.75,240.00,4.60,0.00,0.00,null,OVC,null,null,9000.00,null,null,null,null
NYC,2024-01-15 17:51,-73.9693,40.7790,27.00,29.00,33.82,20.42,330.00,9.20,0.00,0.00,null,OVC,null,null,9000.00,null,null,null,null
NYC,2024-01-15 18:51,-73.9693,40.7790,27.00,28.00,27.92,21.64,null,5.75,0.00,0.00,null,OVC,null,null,6500.00,null,null,null,null
NYC,2024-01-15 19:51,-73.9693,40.7790,27.00,28.00,29.26,28.00,0.00,0.00,0.00,0.00,null,OVC,null,null,6000.00,null,null,null,null
NYC,2024-01-15 20:51,-73.9693,40.7790,27.00,29.00,30.83,25.26,null,3.45,0.00,0.00,null,OVC,null,null,5000.00,null,null,null,null
NYC,2024-01-15 21:51,-73.9693,40.7790,27.00,29.00,30.83,23.92,300.00,4.60,0.00,0.00,null,FEW,BKN,OVC,6000.00,null,null,null,null
NYC,2024-01-15 22:51,-73.9693,40.7790,27.00,29.00,33.82,23.92,null,4.60,0.00,0.00,null,OVC,null,null,7500.00,null,null,null,null
NYC,2024-01-15 23:51,-73.9693,40.7790,27.00,29.00,42.45,22.83,230.00,5.75,0.00,0.00,null,SCT,null,null,11000.00,null,null,null,null
NYC,2024-01-16 00:51,-73.9693,40.7790,27.00,29.00,42.45,20.42,250.00,9.20,0.00,0.00,null,OVC,null,null,6500.00,null,null,null,null
NYC,2024-01-16 01:51,-73.9693,40.7790,27.00,28.00,57.68,28.00,0.00,0.00,T,T,null,OVC,null,null,4000.00,null,null,null,null
NYC,2024-01-16 02:12,-73.9693,40.7790,27.00,27.00,65.56,22.97,240.00,3.45,T,T,null,OVC,null,null,3400.00,null,null,null,null
NYC,2024-01-16 02:49,-73.9693,40.7790,27.00,26.60,73.89,26.60,0.00,0.00,T,T,null,FEW,OVC,null,1600.00,null,null,null,null
NYC,2024-01-16 02:51,-73.9693,40.7790,27.00,26.00,74.46,26.00,0.00,0.00,0.25,0.01,null,SCT,OVC,null,1500.00,null,null,null,null
NYC,2024-01-16 03:03,-73.9693,40.7790,27.00,26.00,77.71,20.41,300.00,4.60,T,T,null,SCT,OVC,null,1500.00,null,null,null,null
NYC,2024-01-16 03:16,-73.9693,40.7790,27.00,26.00,74.46,20.41,null,4.60,T,T,null,FEW,OVC,null,1300.00,null,null,null,null
NYC,2024-01-16 03:43,-73.9693,40.7790,27.00,26.00,77.71,26.00,0.00,0.00,T,T,null,BKN,OVC,null,1400.00,null,null,null,null
NYC,2024-01-16 03:49,-73.9693,40.7790,27.00,26.60,73.89,26.60,0.00,0.00,0.25,0.01,null,BKN,BKN,OVC,1200.00,null,null,null,null
NYC,2024-01-16 03:51,-73.9693,40.7790,27.00,26.00,81.09,26.00,0.00,0.00,0.25,0.01,null,BKN,BKN,OVC,1200.00,null,null,null,null
NYC,2024-01-16 04:13,-73.9693,40.7790,27.00,26.00,77.71,26.00,0.00,0.00,T,T,null,FEW,OVC,null,1300.00,null,null,null,null
NYC,2024-01-16 04:51,-73.9693,40.7790,27.00,25.00,84.53,20.69,310.00,3.45,0.51,0.02,null,SCT,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 05:18,-73.9693,40.7790,27.00,25.00,81.01,20.69,310.00,3.45,0.25,0.01,null,FEW,OVC,null,800.00,null,null,null,null
NYC,2024-01-16 05:51,-73.9693,40.7790,27.00,25.00,81.01,19.25,300.00,4.60,0.51,0.02,null,SCT,OVC,null,800.00,null,null,null,null
NYC,2024-01-16 06:35,-73.9693,40.7790,27.00,25.00,84.53,25.00,0.00,0.00,0.25,0.01,null,FEW,BKN,OVC,900.00,null,null,null,null
NYC,2024-01-16 06:43,-73.9693,40.7790,27.00,26.00,81.09,26.00,0.00,0.00,0.25,0.01,null,SCT,BKN,OVC,900.00,null,null,null,null
NYC,2024-01-16 06:49,-73.9693,40.7790,27.00,26.60,79.77,21.11,50.00,4.60,0.25,0.01,null,SCT,OVC,null,900.00,null,null,null,null
NYC,2024-01-16 06:51,-73.9693,40.7790,27.00,26.00,81.09,20.41,20.00,4.60,0.25,0.01,null,SCT,OVC,null,900.00,null,null,null,null
NYC,2024-01-16 07:17,-73.9693,40.7790,27.00,26.00,84.59,20.41,20.00,4.60,T,T,null,BKN,BKN,OVC,1100.00,null,null,null,null
NYC,2024-01-16 07:49,-73.9693,40.7790,27.00,26.60,79.77,21.11,20.00,4.60,T,T,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 07:50,-73.9693,40.7790,27.00,26.00,81.09,20.41,30.00,4.60,T,T,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 08:32,-73.9693,40.7790,27.00,27.00,81.17,19.51,50.00,6.90,0.25,0.01,null,BKN,BKN,OVC,1200.00,null,null,null,null
NYC,2024-01-16 08:46,-73.9693,40.7790,27.00,26.60,79.77,21.11,20.00,4.60,0.51,0.02,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 08:51,-73.9693,40.7790,27.00,26.00,84.59,19.27,null,5.75,0.51,0.02,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 09:09,-73.9693,40.7790,27.00,27.00,81.17,20.46,20.00,5.75,T,T,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 09:27,-73.9693,40.7790,27.00,27.00,81.17,22.97,null,3.45,T,T,null,SCT,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 09:30,-73.9693,40.7790,27.00,26.00,84.59,21.83,30.00,3.45,0.25,0.01,null,BKN,BKN,OVC,1000.00,null,null,null,null
NYC,2024-01-16 09:43,-73.9693,40.7790,27.00,27.00,81.17,21.58,null,4.60,0.25,0.01,null,BKN,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 09:49,-73.9693,40.7790,27.00,26.60,86.07,21.11,null,4.60,0.51,0.02,null,BKN,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 09:51,-73.9693,40.7790,27.00,27.00,84.66,22.97,40.00,3.45,0.51,0.02,null,BKN,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 10:01,-73.9693,40.7790,27.00,27.00,81.17,21.58,50.00,4.60,T,T,null,BKN,OVC,null,1100.00,null,null,null,null
NYC,2024-01-16 10:21,-73.9693,40.7790,27.00,27.00,84.66,18.68,60.00,8.05,T,T,null,BKN,OVC,null,1100.00,null,null,null,null
NYC,2024-01-16 10:49,-73.9693,40.7790,27.00,26.60,86.07,16.80,40.00,10.35,0.25,0.01,null,OVC,null,null,1000.00,null,null,null,null
NYC,2024-01-16 10:51,-73.9693,40.7790,27.00,27.00,84.66,18.68,50.00,8.05,0.25,0.01,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 10:58,-73.9693,40.7790,27.00,27.00,84.66,20.46,null,5.75,T,T,25.30,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 11:11,-73.9693,40.7790,27.00,27.00,84.66,20.46,60.00,5.75,T,T,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 11:31,-73.9693,40.7790,27.00,28.00,81.25,21.64,50.00,5.75,0.25,0.01,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 11:43,-73.9693,40.7790,27.00,28.00,84.72,20.71,null,6.90,0.25,0.01,20.70,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 11:49,-73.9693,40.7790,27.00,28.40,86.18,23.22,30.00,4.60,0.25,0.01,null,BKN,OVC,null,900.00,null,null,null,null
NYC,2024-01-16 11:51,-73.9693,40.7790,27.00,28.00,84.72,22.75,null,4.60,0.25,0.01,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 12:15,-73.9693,40.7790,27.00,28.00,84.72,24.12,30.00,3.45,T,T,28.75,OVC,null,null,800.00,null,null,null,null
NYC,2024-01-16 12:42,-73.9693,40.7790,27.00,28.00,84.72,15.20,50.00,18.40,0.51,0.02,28.75,OVC,null,null,800.00,null,null,null,null
NYC,2024-01-16 12:49,-73.9693,40.7790,27.00,28.40,86.18,null,null,null,0.51,0.02,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 12:51,-73.9693,40.7790,27.00,28.00,84.72,15.59,40.00,17.25,0.51,0.02,27.60,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 13:05,-73.9693,40.7790,27.00,28.00,84.72,14.83,40.00,19.55,T,T,31.05,OVC,null,null,1000.00,null,null,null,null
NYC,2024-01-16 13:31,-73.9693,40.7790,27.00,28.00,84.72,null,null,null,T,T,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 13:37,-73.9693,40.7790,27.00,28.00,84.72,null,null,null,T,T,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 13:49,-73.9693,40.7790,27.00,28.40,79.92,null,null,null,T,T,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 13:51,-73.9693,40.7790,27.00,28.00,84.72,null,null,null,0.25,0.01,null,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 14:13,-73.9693,40.7790,27.00,28.00,84.72,16.91,40.00,13.80,0.25,0.01,31.05,OVC,null,null,900.00,null,null,null,null
NYC,2024-01-16 14:23,-73.9693,40.7790,27.00,29.00,81.32,19.21,40.00,11.50,0.25,0.01,28.75,OVC,null,null,900.00,T,null,null,null
NYC,2024-01-16 14:51,-73.9693,40.7790,27.00,29.00,84.79,19.78,40.00,10.35,0.51,0.02,26.45,OVC,null,null,900.00,0.01,0.01,null,null
NYC,2024-01-16 15:01,-73.9693,40.7790,27.00,30.00,84.85,23.12,null,6.90,T,T,31.05,BKN,null,null,1000.00,0.01,null,null,null
NYC,2024-01-16 15:11,-73.9693,40.7790,27.00,30.00,84.85,17.81,50.00,18.40,0.25,0.01,35.65,SCT,null,null,1000.00,0.01,null,null,null
NYC,2024-01-16 15:39,-73.9693,40.7790,27.00,30.00,84.85,21.65,40.00,9.20,0.51,0.02,27.60,CLR,null,null,null,0.02,null,null,null
NYC,2024-01-16 15:48,-73.9693,40.7790,27.00,30.20,86.28,21.28,50.00,10.35,0.76,0.03,28.75,CLR,null,null,null,0.03,null,null,null
NYC,2024-01-16 15:51,-73.9693,40.7790,27.00,30.00,88.44,21.03,50.00,10.35,1.02,0.04,28.75,CLR,null,null,null,0.04,null,null,null
NYC,2024-01-16 15:55,-73.9693,40.7790,27.00,30.00,88.44,null,null,null,T,T,null,CLR,null,null,null,T,null,null,null
NYC,2024-01-16 16:03,-73.9693,40.7790,27.00,31.00,84.92,23.56,40.00,8.05,0.25,0.01,25.30,FEW,null,null,800.00,T,null,null,null
NYC,2024-01-16 16:06,-73.9693,40.7790,27.00,31.00,84.92,22.27,40.00,10.35,0.51,0.02,25.30,FEW,null,null,800.00,T,null,null,null
NYC,2024-01-16 16:18,-73.9693,40.7790,27.00,31.00,84.92,21.71,50.00,11.50,0.76,0.03,18.40,BKN,null,null,800.00,0.01,null,null,null
NYC,2024-01-16 16:35,-73.9693,40.7790,27.00,31.00,88.48,21.71,60.00,11.50,1.02,0.04,19.55,OVC,null,null,700.00,0.02,null,null,null
NYC,2024-01-16 16:51,-73.9693,40.7790,27.00,31.00,88.48,22.27,60.00,10.35,1.27,0.05,21.85,OVC,null,null,700.00,0.02,null,null,null
NYC,2024-01-16 17:20,-73.9693,40.7790,27.00,31.00,88.48,22.88,30.00,9.20,0.25,0.01,19.55,OVC,null,null,700.00,0.01,null,null,null
NYC,2024-01-16 17:29,-73.9693,40.7790,27.00,31.00,88.48,24.33,null,6.90,0.25,0.01,null,OVC,null,null,700.00,0.01,null,null,null
NYC,2024-01-16 17:51,-73.9693,40.7790,27.00,31.00,88.48,20.29,40.00,14.95,0.51,0.02,21.85,OVC,null,null,700.00,0.04,null,0.11,null
NYC,2024-01-16 18:19,-73.9693,40.7790,27.00,31.00,88.48,23.56,30.00,8.05,T,T,21.85,OVC,null,null,800.00,T,null,null,null
NYC,2024-01-16 18:40,-73.9693,40.7790,27.00,31.00,84.92,22.88,310.00,9.20,T,T,17.25,OVC,null,null,600.00,0.03,null,null,null
NYC,2024-01-16 18:51,-73.9693,40.7790,27.00,30.00,84.85,20.46,310.00,11.50,0.25,0.01,19.55,OVC,null,null,600.00,0.04,null,null,null
NYC,2024-01-16 19:11,-73.9693,40.7790,27.00,30.00,88.44,21.03,310.00,10.35,0.25,0.01,24.15,OVC,null,null,600.00,0.01,null,null,null
NYC,2024-01-16 19:35,-73.9693,40.7790,27.00,30.00,88.44,22.34,310.00,8.05,0.25,0.01,20.70,OVC,null,null,700.00,0.01,null,null,null
NYC,2024-01-16 19:51,-73.9693,40.7790,27.00,29.00,88.38,20.42,280.00,9.20,0.25,0.01,23.00,OVC,null,null,700.00,0.01,null,null,null
NYC,2024-01-16 20:11,-73.9693,40.7790,27.00,28.00,84.72,17.41,330.00,12.65,T,T,25.30,BKN,BKN,OVC,1000.00,null,null,null,null
NYC,2024-01-16 20:25,-73.9693,40.7790,27.00,28.00,84.72,19.90,330.00,8.05,T,T,25.30,SCT,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 20:38,-73.9693,40.7790,27.00,28.00,84.72,19.90,290.00,8.05,0.25,0.01,null,SCT,OVC,null,1000.00,null,null,null,null
NYC,2024-01-16 20:47,-73.9693,40.7790,27.00,28.40,86.18,19.68,310.00,9.20,0.25,0.01,23.00,BKN,OVC,null,1100.00,null,null,null,null
NYC,2024-01-16 20:51,-73.9693,40.7790,27.00,28.00,84.72,17.95,330.00,11.50,0.25,0.01,24.15,BKN,OVC,null,1100.00,null,0.05,null,null
NYC,2024-01-16 21:10,-73.9693,40.7790,27.00,28.00,88.33,17.41,300.00,12.65,T,T,18.40,SCT,BKN,OVC,1100.00,null,null,null,null
NYC,2024-01-16 21:36,-73.9693,40.7790,27.00,29.00,84.79,19.78,320.00,10.35,T,T,20.70,BKN,BKN,OVC,1200.00,null,null,null,null
NYC,2024-01-16 21:46,-73.9693,40.7790,27.00,28.40,86.18,17.92,310.00,12.65,T,T,19.55,BKN,OVC,null,1200.00,null,null,null,null
NYC,2024-01-16 21:51,-73.9693,40.7790,27.00,28.00,84.72,17.95,290.00,11.50,T,T,null,BKN,BKN,OVC,1200.00,null,null,null,null
NYC,2024-01-16 22:17,-73.9693,40.7790,27.00,28.00,81.25,16.44,300.00,14.95,0.00,0.00,21.85,SCT,OVC,null,1700.00,null,null,null,null
NYC,2024-01-16 22:51,-73.9693,40.7790,27.00,29.00,71.67,19.78,310.00,10.35,0.00,0.00,23.00,BKN,OVC,null,4800.00,null,null,null,null
NYC,2024-01-16 23:26,-73.9693,40.7790,27.00,28.00,71.56,16.44,320.00,14.95,0.00,0.00,27.60,BKN,OVC,null,2900.00,null,null,null,null
NYC,2024-01-16 23:51,-73.9693,40.7790,27.00,28.00,65.69,17.41,310.00,12.65,0.00,0.00,33.35,BKN,BKN,null,2900.00,null,null,0.05,null
NYC,2024-01-17 00:01,-73.9693,40.7790,27.00,28.00,62.91,17.95,290.00,11.50,0.00,0.00,31.05,SCT,null,null,2900.00,null,null,null,null
NYC,2024-01-17 00:51,-73.9693,40.7790,27.00,27.00,62.78,17.30,310.00,10.35,0.00,0.00,27.60,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 01:51,-73.9693,40.7790,27.00,26.00,62.64,16.05,300.00,10.35,0.00,0.00,25.30,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 02:51,-73.9693,40.7790,27.00,24.00,54.59,13.57,300.00,10.35,0.00,0.00,19.55,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 03:51,-73.9693,40.7790,27.00,23.00,56.93,13.81,300.00,8.05,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 04:51,-73.9693,40.7790,27.00,22.00,59.38,13.49,300.00,6.90,0.00,0.00,19.55,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 05:51,-73.9693,40.7790,27.00,21.00,61.95,11.37,300.00,8.05,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 06:51,-73.9693,40.7790,27.00,21.00,59.23,13.33,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 07:51,-73.9693,40.7790,27.00,21.00,61.95,10.56,270.00,9.20,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 08:51,-73.9693,40.7790,27.00,20.00,59.08,14.97,null,3.45,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 09:51,-73.9693,40.7790,27.00,20.00,59.08,10.15,290.00,8.05,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 10:51,-73.9693,40.7790,27.00,19.00,58.94,10.96,null,5.75,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 11:51,-73.9693,40.7790,27.00,18.00,58.79,9.77,null,5.75,0.00,0.00,19.55,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 12:51,-73.9693,40.7790,27.00,17.00,58.64,5.64,280.00,9.20,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 13:51,-73.9693,40.7790,27.00,18.00,53.64,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 14:51,-73.9693,40.7790,27.00,19.00,53.80,8.93,280.00,8.05,0.00,0.00,20.70,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 15:51,-73.9693,40.7790,27.00,20.00,44.89,9.33,300.00,9.20,0.00,0.00,24.15,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 16:51,-73.9693,40.7790,27.00,22.00,39.36,10.43,300.00,11.50,0.00,0.00,23.00,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 17:51,-73.9693,40.7790,27.00,23.00,36.01,11.68,290.00,11.50,0.00,0.00,23.00,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 18:51,-73.9693,40.7790,27.00,24.00,32.95,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 19:51,-73.9693,40.7790,27.00,24.00,32.95,13.57,280.00,10.35,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 20:51,-73.9693,40.7790,27.00,24.00,29.97,15.03,260.00,8.05,0.00,0.00,24.15,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 21:51,-73.9693,40.7790,27.00,23.00,34.36,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 22:51,-73.9693,40.7790,27.00,23.00,34.36,14.69,null,6.90,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-17 23:51,-73.9693,40.7790,27.00,23.00,37.74,13.03,280.00,9.20,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 00:51,-73.9693,40.7790,27.00,23.00,36.01,13.03,250.00,9.20,0.00,0.00,20.70,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 01:51,-73.9693,40.7790,27.00,23.00,37.74,12.32,250.00,10.35,0.00,0.00,21.85,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 02:51,-73.9693,40.7790,27.00,23.00,37.74,12.32,230.00,10.35,0.00,0.00,20.70,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 03:51,-73.9693,40.7790,27.00,22.00,41.24,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 04:51,-73.9693,40.7790,27.00,22.00,41.24,15.74,null,4.60,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 05:51,-73.9693,40.7790,27.00,22.00,39.36,12.59,230.00,8.05,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 06:51,-73.9693,40.7790,27.00,22.00,39.36,12.59,240.00,8.05,0.00,0.00,21.85,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 07:51,-73.9693,40.7790,27.00,22.00,37.56,8.76,230.00,14.95,0.00,0.00,21.85,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 08:51,-73.9693,40.7790,27.00,22.00,39.36,11.79,240.00,9.20,0.00,0.00,17.25,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 09:51,-73.9693,40.7790,27.00,23.00,37.74,13.81,280.00,8.05,0.00,0.00,18.40,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 10:51,-73.9693,40.7790,27.00,24.00,36.19,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 11:51,-73.9693,40.7790,27.00,24.00,37.92,15.03,210.00,8.05,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 12:51,-73.9693,40.7790,27.00,24.00,39.71,null,null,null,0.00,0.00,null,CLR,null,null,null,null,null,null,null
NYC,2024-01-18 13:51,-73.9693,40.7790,27.00,25.00,39.89,15.49,240.00,9.20,0.00,0.00,18.40,OVC,null,null,10000.00,null,null,null,null
NYC,2024-01-18 14:51,-73.9693,40.7790,27.00,27.00,35.06,20.46,null,5.75,0.00,0.00,17.25,OVC,null,null,7000.00,null,null,null,null
